question,daily_pool,vol24h,liq,mid,spread_c,max_c,min_size,dtr,bid_qual,ask_qual,cap_used,share_pct,daily_$,weekly_$,wk_ROC_%
"Will Russia enter Dopropillia by December 31, 2026?",10.0,3687,46791,0.69,2.0,6.5,50,159.8,12514,1849,98.0,1.37,0.14,0.96,1.0
Ukraine signs peace deal with Russia before 2027?,10.0,1769,48503,0.235,1.0,3.5,200,159.8,22170,7056,198.0,1.35,0.14,0.95,0.5
Will the Democrats win the Iowa Senate race in 2026?,10.0,6058,17305,0.42,2.0,4.5,50,,12254,2280,98.0,1.36,0.14,0.95,1.0
Will CXMT’s closing IPO market cap be at least 1.5T ,20.0,4992,10663,0.945,1.0,4.5,50,160.8,9039,20919,99.0,0.66,0.13,0.93,0.9
Will the Republicans win the Iowa Senate race in 202,10.0,7558,21110,0.585,1.0,4.5,50,,3782,11113,99.0,1.32,0.13,0.93,0.9
Will Israel strike 4 countries in 2026?,2.0,1783,13748,0.3755,0.1,3.5,100,159.8,2655,145,99.9,6.66,0.13,0.93,0.9
Will the Republican Party win the DE-AL House seat?,13.0,2375,11397,0.065,1.0,4.5,50,101.8,13189,6312,99.0,1.02,0.13,0.92,0.9
Will United Russia (ER) gain the most seats in the n,165.0,35583,209537,0.565,1.0,5.5,50,67.8,97064,153810,99.0,0.08,0.13,0.92,0.9
Miguel Díaz-Canel out as leader of Cuba by December ,10.0,1487,31596,0.29,2.0,3.5,100,159.8,3206,11876,98.0,1.31,0.13,0.92,0.9
Will Anthropic's valuation hit (HIGH) $2.0T by Decem,5.0,1651,13884,0.37,2.0,4.5,50,161.3,5661,1923,98.0,2.57,0.13,0.9,0.9
Will the next Claude Opus debut at a score of at lea,20.0,3305,4920,0.044,1.4,4.5,50,160.8,28611,2304,98.6,0.64,0.13,0.9,0.9
Will Russia capture Kostyantynivka by August 31?,10.0,2582,24900,0.415,1.0,6.5,50,38.3,14907,489,99.0,1.28,0.13,0.9,0.9
Will Turkey schedule early presidential elections in,5.0,2487,15020,0.115,1.0,4.5,200,159.8,9792,5465,198.0,2.55,0.13,0.89,0.5
Will Las Vegas Aces win the 2026 WNBA Finals?,31.0,2083,41778,0.16,2.0,4.5,50,98.8,32540,16055,98.0,0.41,0.13,0.89,0.9
Will the Democratic Party win the OH-12 House seat?,13.0,1800,11137,0.065,1.0,4.5,50,101.8,13925,6441,99.0,0.97,0.13,0.88,0.9
Will Alexandru Nazare be the next Prime Minister of ,79.0,6902,86989,0.3455,0.1,4.5,100,159.8,17264,108293,99.9,0.16,0.13,0.88,0.9
Will Donavan McKinney be the Democratic Nominee for ,10.0,3241,8313,0.8,2.0,4.5,50,10.8,642,14994,98.0,1.26,0.13,0.88,0.9
Zelenskyy out as Ukraine president by end of 2026?,30.0,18541,125851,0.085,1.0,3.5,200,159.8,44910,52552,198.0,0.41,0.12,0.86,0.4
Will the Republican Party win the OH-05 House seat?,10.0,2551,9658,0.925,1.0,4.5,50,101.8,7112,9790,99.0,1.17,0.12,0.82,0.8
Predict.fun FDV above $1.5B one day after launch?,5.0,1837,18486,0.2235,1.9,4.5,50,526.0,871,7576,98.1,2.31,0.12,0.81,0.8
"Russia x Ukraine ceasefire agreement by October 31, ",20.0,6897,39093,0.23,2.0,6.5,50,98.8,28358,7137,98.0,0.56,0.11,0.78,0.8
Will the Democratic Party win the TX-08 House seat?,10.0,1490,13946,0.055,1.0,4.5,50,101.8,11003,6702,99.0,1.12,0.11,0.78,0.8
Will the Republican Party win the CA-50 House seat?,13.0,1891,14075,0.065,1.0,4.5,50,101.8,15211,7965,99.0,0.86,0.11,0.78,0.8
"US x Iran diplomatic meeting by July 31, 2026?",30.0,25602,38902,0.055,1.0,4.5,200,7.8,94134,13719,198.0,0.37,0.11,0.78,0.4
Opensea FDV above $500M one day after launch?,5.0,1568,11251,0.197,0.2,4.5,50,161.0,2102,6842,99.8,2.19,0.11,0.77,0.8
Will Gavin Newsom win the 2028 Democratic presidenti,214.0,5721,403491,0.1975,0.1,5.5,200,836.8,660527,114870,199.8,0.05,0.11,0.77,0.4
Will the next Claude Opus model be released by Augus,20.0,17432,9976,0.9495,0.9,4.5,50,38.8,3914,32898,99.1,0.54,0.11,0.76,0.8
Will Indiana Fever win the 2026 WNBA Finals?,14.0,5387,49692,0.1,2.0,4.5,50,98.8,6555,19172,98.0,0.77,0.11,0.76,0.8
Strait of Hormuz traffic returns to normal by August,500.0,202193,378365,0.115,1.0,3.5,200,37.8,1741457,132743,198.0,0.02,0.11,0.75,0.4
"Will Russia capture Mala Tokmachka by September 30, ",3.0,1531,1636,0.09,2.0,6.5,50,67.8,4520,978,98.0,3.51,0.11,0.74,0.8
Will the Democratic Party win the UT-03 House seat?,10.0,1892,6802,0.055,1.0,4.5,50,102.8,13563,5328,99.0,1.05,0.1,0.73,0.7
Will Lamine Yamal win the 2026 Ballon d'Or?,134.0,56899,281473,0.234,1.2,4.5,50,98.8,90598,170456,98.8,0.08,0.1,0.72,0.7
Will Mercedes be the 2026 F1 Constructors' Champion?,50.0,8505,60400,0.875,1.0,4.5,40,134.8,44570,32824,79.2,0.21,0.1,0.72,0.9
"Will Russia enter Druzkhivka by December 31, 2026?",10.0,2583,15787,0.29,2.0,6.5,50,159.8,15779,3480,98.0,1.03,0.1,0.72,0.7
Will Flávio Bolsonaro win the 2026 Brazilian preside,153.0,72186,278786,0.2295,0.1,5.5,100,71.8,142870,157416,99.9,0.07,0.1,0.71,0.7
Will Alexandria Ocasio-Cortez win the 2028 Democrati,129.0,2465,299921,0.1445,0.1,5.5,200,836.8,431436,83312,199.8,0.08,0.1,0.7,0.4
Will Gadi Eizenkot be the next Prime Minister of Isr,56.0,3663,95522,0.489,0.6,5.5,50,159.8,30624,82286,99.4,0.18,0.1,0.69,0.7
Will Mandela Barnes win the 2026 Wisconsin Governor ,3.0,2469,20948,0.0825,2.1,4.5,50,17.8,3576,2418,97.9,3.23,0.1,0.68,0.7
Will the Republican Party win the CA-25 House seat?,8.0,2291,11379,0.065,1.0,4.5,50,101.8,8157,8506,99.0,1.19,0.09,0.66,0.7
Will the Democratic Party win the TX-04 House seat?,10.0,2527,14969,0.075,1.0,4.5,50,101.8,11805,9313,99.0,0.94,0.09,0.66,0.7
Will New York Liberty win the 2026 WNBA Finals?,17.0,1499,37448,0.105,1.0,4.5,50,98.8,19763,17918,99.0,0.53,0.09,0.63,0.6
Will 1 Fed rate cut happen in 2026?,66.0,9100,92529,0.105,1.0,4.5,50,159.8,104886,44564,99.0,0.13,0.09,0.62,0.6
Will Harry Kane win the 2026 Ballon d'Or?,269.0,57451,405032,0.4095,0.1,4.5,50,98.8,194442,421946,99.9,0.03,0.09,0.61,0.6
Will Elon Musk post 260-279 tweets from July 21 to J,5.0,8996,34961,0.148,0.8,4.5,50,4.5,8412,2965,99.2,1.73,0.09,0.6,0.6
Over $70M committed to the RipCars public sale?,5.0,2474,6757,0.0175,0.9,4.5,50,38.9,8956,2845,99.1,1.67,0.08,0.58,0.6
"Russia x Ukraine ceasefire agreement by December 31,",20.0,6739,97505,0.365,1.0,6.5,50,159.8,34845,14143,99.0,0.41,0.08,0.57,0.6
Will the Republican Party win the IL-17 House seat?,10.0,1649,11732,0.077,0.2,4.5,50,102.8,19690,6100,99.8,0.77,0.08,0.54,0.5
Will Jon Ossoff win the 2028 Democratic presidential,129.0,56228,287594,0.1425,0.1,5.5,200,836.8,606228,64502,199.8,0.06,0.08,0.54,0.3
Will J.D. Vance win the 2028 Republican presidential,125.0,26757,379179,0.43,0.2,5.5,100,836.8,162338,162067,99.8,0.06,0.08,0.54,0.5
"Will Anthropic IPO by September 15, 2026?",100.0,11002,48913,0.0135,0.3,5.5,50,341.8,214820,42478,99.7,0.08,0.08,0.54,0.5
"US-Iran Final Nuclear Deal by August 31, 2026?",40.0,1599,137426,0.075,1.0,3.5,200,38.8,135103,75199,198.0,0.19,0.08,0.53,0.3
Will Crude Oil reach a new all-time high by Septembe,10.0,28927,31981,0.116,0.6,5.5,100,67.8,15505,10541,99.4,0.76,0.08,0.53,0.5
Will Trump pardon Ghislaine Maxwell before 2027?,5.0,1366,3994,0.062,0.4,4.5,50,159.8,11215,1862,99.6,1.51,0.08,0.53,0.5
Will the Republican Party win the OR-03 House seat?,10.0,1460,13316,0.06,2.0,4.5,50,101.8,19233,8166,98.0,0.72,0.07,0.51,0.5
Will the Republican Party win the NJ-03 House seat?,10.0,2419,13412,0.065,1.0,4.5,50,101.8,19713,7936,99.0,0.72,0.07,0.5,0.5
Will Luiz Inácio Lula da Silva win the 2026 Brazilia,288.0,33736,486762,0.605,1.0,5.5,100,71.8,520683,286804,99.0,0.02,0.07,0.5,0.5
Will Golden State Valkyries win the 2026 WNBA Finals,11.0,1463,49605,0.094,1.2,4.5,50,98.8,21866,10114,98.8,0.62,0.07,0.48,0.5
Will Spider-Man: Brand New Day be the top grossing m,11.0,3113,45603,0.805,1.0,4.5,50,159.8,13320,18408,99.0,0.63,0.07,0.48,0.5
Will the Republican Party win the CA-16 House seat?,10.0,2128,12887,0.06,2.0,4.5,50,101.8,22813,7184,98.0,0.66,0.07,0.46,0.5
Will the Milwaukee Brewers win the 2026 World Series,18.0,8021,149158,0.0885,0.1,4.5,50,99.8,31216,23681,99.9,0.36,0.07,0.46,0.5
Will Marco Rubio win the 2028 Republican presidentia,75.0,9209,229132,0.2805,0.1,5.5,100,836.8,146007,80080,99.9,0.09,0.07,0.46,0.5
"Andrew Tate released from custody by July 31, 2026?",20.0,3756,7601,0.042,1.4,4.5,50,6.8,59646,1459,98.6,0.33,0.07,0.46,0.5
Will the Iranian regime fall before 2027?,300.0,115242,673545,0.105,1.0,3.5,200,159.8,1417430,403505,198.0,0.02,0.07,0.46,0.2
Will Benjamin Netanyahu be arrested by September 30?,20.0,5827,39376,0.0275,0.1,4.5,200,68.8,110677,16708,199.8,0.31,0.06,0.44,0.2
Will George Russell be the 2026 F1 Drivers' Champion,27.0,8358,142262,0.085,1.0,4.5,50,134.8,42049,43270,99.0,0.23,0.06,0.44,0.4
Will Benjamin Netanyahu be the next Prime Minister o,42.0,10725,93161,0.375,1.0,5.5,50,159.8,68764,66290,99.0,0.15,0.06,0.43,0.4
Will AfD win an absolute majority of seats in Sachse,10.0,2555,30723,0.405,1.0,4.5,50,43.8,19245,14812,99.0,0.58,0.06,0.41,0.4
Will Silver (XAGUSD) hit (HIGH) $66 in July?,10.0,2143,4399,0.032,0.8,4.5,50,7.9,31088,2797,99.2,0.59,0.06,0.41,0.4
Will JD Vance win the 2028 US Presidential Election?,188.0,52641,608812,0.1985,0.1,5.5,200,836.8,1031616,260582,199.8,0.03,0.06,0.41,0.2
Will Anthropic's valuation hit (HIGH) $3.0T by Decem,3.0,2582,19138,0.12,2.0,4.5,50,161.3,4472,5778,98.0,1.91,0.06,0.4,0.4
Over $27.5M committed to the RipCars public sale?,5.0,6892,15298,0.926,0.8,4.5,50,38.9,7838,9355,99.2,1.15,0.06,0.4,0.4
Opensea FDV above $2B one day after launch?,5.0,2944,23405,0.07,2.0,4.5,50,161.0,6135,11168,98.0,1.14,0.06,0.4,0.4
Bab el-Mandeb Strait effectively closed by December ,10.0,16454,42025,0.335,1.0,4.5,50,159.8,15268,20367,99.0,0.56,0.06,0.39,0.4
Will Milwaukee Brewers win the 2026 National League ,21.0,2597,74297,0.193,1.8,4.5,40,99.8,58827,2022,78.56,0.26,0.06,0.39,0.5
Will Renan Santos win the 2026 Brazilian presidentia,59.0,94275,246038,0.1155,0.1,5.5,100,71.8,84994,125990,99.9,0.09,0.06,0.39,0.4
Will Russia capture Oleksiievo-Druzhkivka by Decembe,10.0,2371,19801,0.16,2.0,6.5,50,160.8,34338,1486,98.0,0.56,0.06,0.39,0.4
Iran coup attempt by December 31?,5.0,1876,16968,0.125,1.0,4.5,50,159.8,7736,10140,99.0,1.11,0.06,0.39,0.4
Will Gavin Newsom win the 2028 US Presidential Elect,100.0,4148,472974,0.1255,0.1,5.5,200,836.8,571593,162323,199.8,0.05,0.05,0.38,0.2
Over $40M committed to the RipCars public sale?,5.0,15436,4391,0.024,2.0,4.5,50,38.9,16375,2296,98.0,1.06,0.05,0.37,0.4
Over $50M committed to the RipCars public sale?,5.0,5061,3931,0.032,3.2,4.5,50,38.9,17436,2008,96.8,1.02,0.05,0.36,0.4
"Israel withdraws from Lebanon by September 30, 2026?",10.0,3026,42446,0.06,2.0,4.5,50,67.8,35768,5311,98.0,0.48,0.05,0.34,0.3
Mykhailo Fedorov reinstated as Ukrainian Defense Min,2.0,6305,9323,0.09,1.8,4.5,50,7.8,5897,2210,98.2,2.41,0.05,0.34,0.3
"Will Russia capture Kostyantynivka by December 31, 2",50.0,13755,267883,0.8875,0.1,6.5,100,160.3,92413,120668,99.9,0.09,0.05,0.33,0.3
Will Darline Graham Nordone be the new republican no,12.0,48538,42155,0.6985,0.1,4.5,50,17.8,16528,34024,99.9,0.39,0.05,0.33,0.3
Iran leadership change by July 31?,50.0,97770,57508,0.0475,0.1,4.5,200,6.8,409303,28180,199.8,0.09,0.05,0.32,0.2
Extended FDV above $3B one day after launch?,3.0,2416,7086,0.0205,0.7,4.5,30,161.0,10078,1966,89.37,1.47,0.04,0.31,0.3
Will Dallas Wings win the 2026 WNBA Finals?,6.0,1937,47096,0.072,1.2,4.5,50,98.8,12876,14445,98.8,0.73,0.04,0.31,0.3
Will Jon Ossoff win the 2028 US Presidential Electio,50.0,10990,405316,0.0885,0.1,5.5,200,836.8,275213,193113,199.8,0.09,0.04,0.3,0.1
Will the Atlanta Braves win the 2026 World Series?,9.0,16450,145092,0.0735,0.1,4.5,50,99.8,25565,15928,99.9,0.48,0.04,0.3,0.3
Will Alexandria Ocasio-Cortez win the 2028 US Presid,50.0,22618,322085,0.093,0.2,5.5,200,836.8,406524,83215,199.6,0.08,0.04,0.29,0.1
Will Elon Musk post 160-179 tweets from July 21 to J,12.0,14870,33998,0.024,0.4,4.5,50,4.5,52090,4989,99.6,0.35,0.04,0.29,0.3
Will WTI Crude Oil (WTI) hit (HIGH) $110 in July?,10.0,63254,111825,0.0955,2.1,4.5,50,8.0,44660,2602,97.9,0.42,0.04,0.29,0.3
Will Nicolás Maduro be the leader of Venezuela end o,12.0,4832,46178,0.812,0.2,4.5,50,159.8,32780,25486,99.8,0.34,0.04,0.29,0.3
Will Avengers: Doomsday be the top grossing movie of,6.0,6049,75681,0.125,1.0,4.5,50,159.8,12599,16364,99.0,0.69,0.04,0.29,0.3
Mojtaba Khamenei seen in public by July 31?,30.0,6232,46996,0.0115,0.3,4.5,200,6.8,266020,22949,199.4,0.14,0.04,0.29,0.1
Will the U.S. lift CAATSA sanctions on Turkey by Jul,2.0,11158,1688,0.025,1.0,4.5,50,7.8,9375,331,99.0,2.02,0.04,0.28,0.3
Will inflation reach more than 5% in 2026?,5.0,2325,15974,0.15,2.0,4.5,50,159.8,19050,5883,98.0,0.8,0.04,0.28,0.3
Will the US federal government take a stake in Freep,3.0,1524,1786,0.09,2.0,6.5,50,159.8,14476,339,98.0,1.33,0.04,0.28,0.3
Will the Los Angeles Rams win the 2027 NFL league ch,106.0,5891,475692,0.145,1.0,4.5,50,250.8,155095,382709,99.0,0.04,0.04,0.28,0.3
Will Samuel Alito announce his retirement by Septemb,20.0,2156,67409,0.065,1.0,4.5,50,160.8,65131,38068,99.0,0.19,0.04,0.27,0.3
"Will Tesla, Inc. (TSLA) hit (LOW) $270 in July?",5.0,2635,9538,0.03,0.8,5.5,40,7.9,18100,2480,79.36,0.77,0.04,0.27,0.3
Will there be at least 2300 measles cases in the U.S,3.0,3131,4805,0.9745,1.9,4.5,50,7.8,1622,14046,98.1,1.26,0.04,0.26,0.3
Will Crude Oil reach a new all-time high by December,5.0,16341,33897,0.195,1.0,5.5,100,159.8,18009,10173,99.0,0.7,0.04,0.25,0.2
Will Marine Le Pen win the 2027 French presidential ,47.0,18072,285821,0.3175,0.1,5.5,50,279.8,111928,167028,99.9,0.07,0.03,0.24,0.2
Will Russia capture all of Kostyantynivka by Decembe,10.0,2048,53981,0.375,1.0,6.5,50,159.8,48535,8525,99.0,0.35,0.03,0.24,0.2
Will Alphabet be the largest company in the world by,6.0,4346,75725,0.105,1.0,4.5,50,159.8,27532,7232,99.0,0.57,0.03,0.24,0.2
"Putin out as President of Russia by December 31, 202",200.0,72630,1154747,0.085,1.0,3.5,200,160.6,1595940,882215,198.0,0.02,0.03,0.23,0.1
Will WTI Crude Oil (WTI) hit (LOW) $75 in July?,10.0,36513,29282,0.055,1.0,4.5,100,8.0,37487,23102,99.0,0.33,0.03,0.23,0.2
Will the Democrats win the Maine Senate race in 2026,10.0,4849,56505,0.675,1.0,4.5,50,,36151,24159,99.0,0.33,0.03,0.23,0.2
Will Nithya Raman win the 2026 Los Angeles mayoral e,10.0,2105,81358,0.375,0.6,4.5,50,160.8,13847,47540,99.4,0.32,0.03,0.23,0.2
Will Mohammad Bagher Ghalibaf sign a U.S. x Iran dea,10.0,2272,10096,0.0165,0.7,4.5,50,7.9,59097,4549,99.3,0.31,0.03,0.22,0.2
Will J.D. Vance announce a presidential run before 2,5.0,1438,8219,0.05,2.0,4.5,50,159.8,28738,2444,98.0,0.64,0.03,0.22,0.2
Will Oklahoma City Thunder win the 2027 NBA Finals?,95.0,14590,569823,0.245,1.0,4.5,50,341.8,61040,549486,99.0,0.03,0.03,0.22,0.2
Will Alphabet be the largest company in the world by,2.0,3247,48973,0.063,2.2,4.5,50,38.8,3260,9465,97.8,1.55,0.03,0.22,0.2
Hormuz Island no longer under Iranian control by Jul,2.0,1478,14966,0.021,1.4,4.5,50,7.8,12662,756,98.6,1.47,0.03,0.21,0.2
Will the Republicans win the Georgia Senate race in ,11.0,5447,69444,0.135,0.2,4.5,50,,12847,60533,99.8,0.27,0.03,0.21,0.2
Will Édouard Philippe win the 2027 French presidenti,39.0,11358,174749,0.265,1.0,5.5,50,279.8,197181,97230,99.0,0.07,0.03,0.19,0.2
Will San Antonio Spurs win the 2027 NBA Finals?,67.0,17585,329403,0.185,1.0,4.5,50,341.8,369763,136868,99.0,0.04,0.03,0.19,0.2
"Will Gold (XAUUSD) hit (HIGH) $4,300 in July?",10.0,6031,10904,0.041,1.4,4.5,50,7.9,69262,5709,98.6,0.27,0.03,0.19,0.2
Will Marco Rubio win the 2028 US Presidential Electi,112.0,32213,573283,0.1385,0.1,5.5,200,836.8,1363123,312951,199.8,0.02,0.03,0.19,0.1
Will the New York Yankees win the 2026 World Series?,39.0,9848,155744,0.135,1.0,4.5,50,99.8,270654,36040,99.0,0.07,0.03,0.18,0.2
Will WTI Crude Oil (WTI) hit (LOW) $70 in July?,10.0,31528,19709,0.0155,0.5,4.5,100,8.0,70061,9711,99.5,0.25,0.03,0.18,0.2
Will the Republicans win the Maine Senate race in 20,10.0,1881,91921,0.325,1.0,4.5,50,,13197,64337,99.0,0.26,0.03,0.18,0.2
Will the Swedish Social Democratic Party (S) win the,14.0,3893,28588,0.9755,0.7,4.5,50,50.8,14986,100924,99.3,0.17,0.02,0.17,0.2
Will Arsenal win the 2026-27 English Premier League ,83.0,13326,397650,0.355,1.0,4.5,50,310.8,591732,130672,99.0,0.03,0.02,0.16,0.2
US announces withdrawal from Al Udeid Air Base by Se,20.0,8245,12884,0.0375,0.1,4.5,200,68.8,345056,4224,199.8,0.11,0.02,0.16,0.1
Mohammed Ghalibaf out as Speaker of Iran Parliament ,5.0,1382,10303,0.0325,0.9,4.5,50,7.8,41166,5310,99.1,0.43,0.02,0.15,0.2
Will Xavier Becerra win the California Governor Elec,10.0,6952,54027,0.928,0.8,4.5,50,101.8,28566,70381,99.2,0.2,0.02,0.14,0.1
Extended FDV above $500M one day after launch?,5.0,1530,66680,0.295,3.0,4.5,50,161.0,393,48275,97.0,0.41,0.02,0.14,0.1
"Will Gold (XAUUSD) hit (LOW) $3,700 in July?",10.0,2181,12977,0.02,1.6,4.5,50,7.9,92889,7717,98.4,0.2,0.02,0.14,0.1
Will the US confirm that aliens exist before 2027?,100.0,18924,607670,0.055,1.0,3.5,200,159.8,1835528,250051,198.0,0.02,0.02,0.13,0.1
Greater Tunb Island no longer under Iranian control ,2.0,1671,17520,0.034,1.8,4.5,50,7.8,10557,11476,98.2,0.9,0.02,0.13,0.1
Will Silver (XAGUSD) hit (HIGH) $68 in July?,10.0,1344,15463,0.0155,0.7,4.5,50,7.9,108630,5828,99.3,0.17,0.02,0.12,0.1
Ukraine signs peace deal with Russia by August 31?,3.0,1423,26792,0.045,1.0,6.5,50,38.8,28878,10504,99.0,0.51,0.02,0.11,0.1
Will S&P 500 (SPY) hit (LOW) $680 in July?,10.0,5868,24575,0.022,0.2,4.5,50,7.9,112549,20366,99.8,0.15,0.02,0.11,0.1
Trump out as President before 2027?,50.0,24938,430844,0.075,1.0,4.5,100,159.8,391301,268990,99.0,0.03,0.02,0.11,0.1
Will Kamala Harris win the 2028 Democratic president,28.0,23282,385588,0.0695,0.1,5.5,200,836.8,511466,196484,199.8,0.06,0.02,0.11,0.1
Will the Republican Party control the Senate after t,10.0,4710,196459,0.555,1.0,4.5,50,101.8,58182,63850,99.0,0.16,0.02,0.11,0.1
US x China tariff agreement by July 31?,5.0,1721,4796,0.032,1.8,4.5,50,7.8,63174,3455,98.2,0.3,0.01,0.1,0.1
Will Philadelphia 76ers win the 2027 NBA Finals?,9.0,13051,201711,0.0745,0.1,4.5,50,341.8,62906,57504,99.9,0.17,0.01,0.1,0.1
"2026 Balance of Power: D Senate, D House",10.0,4685,181918,0.435,1.0,4.5,50,101.8,82858,61358,99.0,0.14,0.01,0.1,0.1
Will Miami Heat win the 2027 NBA Finals?,10.0,27693,250398,0.0695,0.3,4.5,50,341.8,79990,54902,99.7,0.15,0.01,0.1,0.1
Will Bayern Munich win the 2026-27 UEFA Champions Le,35.0,1633,302016,0.135,1.0,4.5,50,310.8,439085,118753,99.0,0.04,0.01,0.09,0.1
Will GameStop acquire eBay?,10.0,26721,123716,0.135,1.0,4.5,200,159.8,217965,92675,198.0,0.13,0.01,0.09,0.0
Will Paris Saint-Germain win the 2026-27 UEFA Champi,35.0,2270,293241,0.145,1.0,4.5,50,310.8,537302,105835,99.0,0.03,0.01,0.08,0.1
Will the Seattle Mariners win the 2026 World Series?,4.0,2486,114029,0.0615,0.1,4.5,50,99.8,42312,30374,99.9,0.27,0.01,0.08,0.1
"US-Iran Final Nuclear Deal by August 13, 2026?",30.0,2624,49096,0.0285,0.1,3.5,200,20.8,965784,29031,199.8,0.04,0.01,0.08,0.0
Farsi Island no longer under Iranian control by Augu,2.0,64276,3306,0.056,0.6,4.5,50,38.8,32724,1504,99.4,0.58,0.01,0.08,0.1
Will France send warships through the Strait of Horm,2.0,1949,9550,0.0155,0.7,4.5,50,7.8,29754,5830,99.3,0.56,0.01,0.08,0.1
Will Real Madrid win the 2026-27 UEFA Champions Leag,35.0,9409,239855,0.135,1.0,4.5,50,310.8,650654,54008,99.0,0.03,0.01,0.07,0.1
"Israel withdraws from Lebanon by August 31, 2026?",20.0,25598,108921,0.027,0.2,4.5,50,37.8,331361,45134,99.8,0.05,0.01,0.07,0.1
Xi Jinping out before 2027?,10.0,22039,185232,0.0485,0.1,3.5,200,159.8,346137,82786,199.8,0.09,0.01,0.07,0.0
Will Steve Hilton win the California Governor Electi,10.0,4762,145446,0.067,0.2,4.5,50,101.8,139492,64941,99.8,0.1,0.01,0.07,0.1
Will the Buffalo Bills win the 2027 NFL league champ,35.0,5074,321876,0.075,1.0,4.5,50,250.8,502409,154782,99.0,0.03,0.01,0.07,0.1
Will Kylian Mbappé win the 2026 Ballon d'Or?,45.0,45417,202481,0.1145,0.1,4.5,50,98.8,819426,34075,99.9,0.02,0.01,0.07,0.1
Will WTI Crude Oil (WTI) hit (HIGH) $115 in July?,10.0,46275,88129,0.0465,0.1,4.5,100,8.0,175514,33990,99.9,0.1,0.01,0.07,0.1
Will Rodri win the 2026 Ballon d'Or?,51.0,36253,254031,0.115,1.0,4.5,50,98.8,918530,111839,99.0,0.02,0.01,0.07,0.1
Will Ukraine recapture Crimean territory by December,20.0,6832,159767,0.095,1.0,6.5,50,159.8,398454,109013,99.0,0.04,0.01,0.06,0.1
Will the Sweden Democrats (SD) win the most seats in,5.0,1936,18288,0.015,0.2,4.5,50,50.8,105769,4768,99.8,0.18,0.01,0.06,0.1
Will the Philadelphia Phillies win the 2026 World Se,4.0,3052,128075,0.0565,0.1,4.5,50,99.8,49399,47653,99.9,0.21,0.01,0.06,0.1
Will S&P 500 (SPY) hit (LOW) $690 in July?,10.0,3154,13386,0.032,2.0,4.5,50,7.9,209875,10956,98.0,0.09,0.01,0.06,0.1
Will Manchester City win the 2026-27 English Premier,67.0,10811,811209,0.295,1.0,4.5,50,310.8,1125650,494748,99.0,0.01,0.01,0.06,0.1
Will China invade Taiwan by end of 2026?,50.0,22538,539147,0.0375,0.1,3.5,200,159.8,2101518,261212,199.8,0.02,0.01,0.06,0.0
Will a European country take military action on Iran,2.0,7871,11275,0.025,0.6,4.5,50,7.8,51383,1502,99.4,0.38,0.01,0.05,0.1
Will Elon Musk post 240-259 tweets from July 24 to J,2.0,1887,10764,0.0695,1.3,4.5,50,7.4,54702,1764,98.7,0.35,0.01,0.05,0.1
Will the Republican Party control the House after th,10.0,3517,361926,0.145,1.0,4.5,50,101.8,68652,220017,99.0,0.07,0.01,0.05,0.0
"Will Russia capture Sumy by March 31, 2027?",3.0,47289,34790,0.07,2.0,6.5,50,249.8,57251,29027,98.0,0.23,0.01,0.05,0.0
Will Barcelona win the 2026-27 UEFA Champions League,28.0,5890,247207,0.115,1.0,4.5,50,310.8,704889,70073,99.0,0.03,0.01,0.05,0.1
Will Apple release a foldable iPhone before 2027?,3.0,2042,28731,0.905,1.0,4.5,50,159.8,2062,84802,99.0,0.23,0.01,0.05,0.0
Will G2 Win BLAST Bounty 2026 Season 2?,2.0,2771,17921,0.056,1.0,4.5,50,,51955,859,99.0,0.38,0.01,0.05,0.1
Will the Democrats win the 2028 US Presidential Elec,10.0,11155,328500,0.58,2.0,4.5,50,836.8,24946,374746,98.0,0.05,0.01,0.04,0.0
Will Chelsea win the 2026-27 English Premier League ,13.0,7032,221177,0.095,1.0,4.5,50,310.8,338483,80013,99.0,0.05,0.01,0.04,0.0
Will Israel launch a ground operation in Iran by Jul,2.0,4236,14622,0.032,1.2,4.5,50,6.8,62819,2535,98.8,0.31,0.01,0.04,0.0
GRVT FDV above $100M one day after launch?,3.0,3287,11429,0.9655,0.1,4.5,30,526.0,6273,83851,89.91,0.2,0.01,0.04,0.0
Will Jean-Luc Mélenchon win the 2027 French presiden,14.0,1838,210827,0.125,1.0,5.5,50,279.8,432791,80775,99.0,0.04,0.01,0.04,0.0
Will Reza Pahlavi be head of state in Iran end of 20,4.0,25467,95158,0.0465,0.3,4.5,100,159.8,146959,12400,99.7,0.13,0.01,0.04,0.0
Will Russia enter Serhiivka by July 31?,3.0,22558,2511,0.063,1.2,6.5,50,6.8,126678,1195,98.8,0.16,0.0,0.03,0.0
Will New York Knicks win the 2027 NBA Finals?,19.0,161042,246790,0.085,1.0,4.5,50,341.8,747153,47926,99.0,0.03,0.0,0.03,0.0
Will Russia capture Kostyantynivka by July 31?,3.0,4815,6910,0.0595,2.1,6.5,50,7.3,136029,1518,97.9,0.15,0.0,0.03,0.0
Will 2 Fed rate cuts happen in 2026?,12.0,10940,70019,0.0305,0.3,4.5,50,159.8,475705,27223,99.7,0.04,0.0,0.03,0.0
Will WTI Crude Oil (WTI) hit (HIGH) $120 in July?,10.0,96167,110107,0.033,0.8,4.5,100,8.0,336933,75998,99.2,0.05,0.0,0.03,0.0
